desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0003032,CP NÚCLEO RECREATIVO RAIOZINHO DE SOL,Creche Parceira,3.8,Pilares,66,22,21,-22.8821,-43.29356
0003033,CP INSTITUTO EDUCACIONAL T & P CONQUISTA,Creche Parceira,3.5,Lins de Vasconcelos,126,111,3,-22.91205,-43.28506
0003034,CP CRECHE RISCO E RABISCO,Creche Parceira,3.9,Pilares,50,68,5,-22.87782,-43.30046
0003035,CP CENTRO EDUCACIONAL SÃO VICENTE DE PAULO,Creche Parceira,3.20,Inhaúma,26,24,1,-22.86559,-43.27641
0003036,CP CENTRO CULTURAL EVOLUIR,Creche Parceira,3.14,Maria da Graça,74,73,4,-22.8799,-43.26201
0003037,CP CRECHE FRUTOS DO AMANHÃ I,Creche Parceira,3.19,Inhaúma,244,107,70,-22.87368,-43.28338
0003038,CP CRECHE FRUTOS DO AMANHÃ II,Creche Parceira,3.17,Engenho da Rainha,118,87,15,-22.86547,-43.28919
0003039,CP CRECHE COMUNITÁRIA CÉU AZUL,Creche Parceira,3.14,Bonsucesso,55,33,6,-22.87198,-43.25737
0003040,CP ASSOCIAÇÃO CRESCENCIO UNIDADE II,Creche Parceira,3.3,Engenho Novo,74,35,11,-22.90891,-43.26861
0003041,CP CENTRO DE DESENVOLVIMENTO INFANTIL ESPELHO D'AGUA,Creche Parceira,3.8,Piedade,29,31,1,-22.89044,-43.30507
0004001,CP CENTRO EDUCACIONAL APRENDIZ DA MARÉ,Creche Parceira,4.10,Bonsucesso,88,83,14,-22.85082,-43.24223
0004002,CP INSTITUTO EDUCACIONAL LUIZ ANTONIO - IELA,Creche Parceira,4.20,Vila da Penha,41,27,12,-22.83393,-43.30671
0004003,CP ASSOCIAÇÃO CIVIL CENTRO EDUCACIONAL COMUNITÁRIO ESTAÇÃO DO SABER,Creche Parceira,4.23,Parada de Lucas,43,45,0,-22.81298,-43.29691
0004004,CP CRECHE DO CENTRO COMUNITÁRIO DA VILA PROLETÁRIA DA PENHA,Creche Parceira,4.17,Penha,94,92,0,-22.85039,-43.28401
0004005,CP CASA DE JOEL,Creche Parceira,4.21,Cordovil,111,124,1,-22.82987,-43.3075
0004006,CP COMUNIDADE INSTITUCIONAL ADULÃO TEMPO FELIZ,Creche Parceira,3.24,Bonsucesso,57,19,27,-22.85973,-43.25933
0004007,CP CRECHE CASULO BOM JESUS DA PENHA,Creche Parceira,4.16,Ramos,41,23,8,-22.84172,-43.28014
0004008,CP CRECHE COMUNITÁRIA CASULO DO PARQUE PROLETÁRIO DA PENHA,Creche Parceira,4.16,Penha,37,43,1,-22.84673,-43.2842
0004009,CP CRECHE COMUNITÁRIA DE MANGUINHOS,Creche Parceira,4.1,Manguinhos,25,17,1,-22.87888,-43.25305
0004010,CP CRECHE COMUNITÁRIA SAGRADO CORAÇÃO DE MARIA,Creche Parceira,4.8,Bonsucesso,86,73,8,-22.85783,-43.24325
0004011,CP CRECHE E PRÉ-ESCOLA NOVA JERUSALÉM,Creche Parceira,4.14,Penha,56,57,0,-22.82362,-43.28531
0004012,CP CRECHE ESCOLA MIMI I,Creche Parceira,4.9,Bonsucesso,89,67,2,-22.85158,-43.2422
0004013,CP RECANTO DA CRIANÇA FELIZ,Creche Parceira,4.12,Ramos,55,48,11,-22.84581,-43.2489
0004014,CP CRECHE SAGRADO CORAÇÃO DE MARIA E SANTO ANTÔNIO,Creche Parceira,4.20,Brás de Pina,96,89,2,-22.834,-43.30146
0004015,CP ESPAÇO DE EDUCAÇÃO INFANTIL VILA DO JOÃO,Creche Parceira,4.12,Manguinhos,240,66,133,-22.8653,-43.24814
0004016,CP CRECHE LAR IRMÃO FRANCISCO,Creche Parceira,4.3,Manguinhos,119,75,14,-22.87597,-43.25116
0004017,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL I,Creche Parceira,4.14,Penha,98,70,1,-22.82767,-43.27649
0004018,CP SOCIEDADE DE ENSINO TEREZA CRISTINA,Creche Parceira,4.10,Bonsucesso,126,94,3,-22.85034,-43.24656
0004020,CP CENTRO CULTURAL EDUCAR,Creche Parceira,3.24,Ramos,38,34,1,-22.86522,-43.25653
0004021,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL II,Creche Parceira,4.19,Penha Circular,108,110,1,-22.83817,-43.28794
0004022,CP CRECHE VALE DO SOL NO GROTÃO,Creche Parceira,4.18,Penha,229,130,29,-22.84534,-43.29
0004023,CP CENTRO CULTURAL EDUCAR - UNIDADE III,Creche Parceira,4.7,Bonsucesso,65,61,0,-22.86131,-43.24694
0004024,CP CRECHE VALE DO SOL,Creche Parceira,4.15,Olaria,235,130,9,-22.85147,-43.2723
0004025,CP CRECHE E PRÉ-ESCOLA NOVA JERUSALÉM NO CORDOVIL,Creche Parceira,4.22,Cordovil,107,108,0,-22.82168,-43.29079
0004026,CP CRECHE ESCOLA PATINHO ESTUDIOSO,Creche Parceira,4.7,Parada de Lucas,25,26,0,-22.86202,-43.23875
0004027,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL IV,Creche Parceira,4.24,Vigário Geral,186,103,61,-22.80848,-43.30968
0004028,CP CRECHE TIA NANE I,Creche Parceira,4.11,Ramos,34,20,4,-22.84333,-43.25027
0004029,CP SOLZINHO,Creche Parceira,4.15,Olaria,99,80,5,-22.85518,-43.26747
0004030,CP CRECHE VALE DO SOL II,Creche Parceira,3.24,Ramos,235,170,2,-22.85806,-43.26003
0004032,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL V,Creche Parceira,5.3,Vila da Penha,205,50,0,-22.83836,-43.31195
0004034,CP CASA DE JOEL II,Creche Parceira,5.2,Vila da Penha,142,20,52,-22.84383,-43.3089
0004035,CP INSTITUTO DE EDUCAÇÃO EUCLIDES DOS SANTOS,Creche Parceira,4.10,Bonsucesso,85,39,45,-22.84837,-43.24488
0004036,CP CRECHE GIZ COLORIDO,Creche Parceira,4.20,Brás de Pina,48,17,9,-22.82947,-43.29393
0004037,CP CRECHE ESCOLA MIMI II,Creche Parceira,4.10,Ramos,93,70,0,-22.85055,-43.24137
0004038,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL VIII,Creche Parceira,4.21,Cordovil,147,126,0,-22.82753,-43.30658
0004039,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL IX,Creche Parceira,4.14,Penha Circular,65,48,0,-22.81754,-43.27197
0004040,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL X,Creche Parceira,4.26,Jardim América,260,190,79,-22.80995,-43.31968
0004041,CP CRECHE ESCOLA OTACÍLIO BATISTA,Creche Parceira,4.8,Bonsucesso,63,22,16,-22.85752,-43.24459
0004042,CP CENTRO CULTURAL PEDACINHO DO CÉU,Creche Parceira,4.14,Brás de Pina,117,109,0,-22.82835,-43.28779
0004043,CP ASSOCIAÇÃO COMUNITÁRIA EDUCACIONAL FLORESCER,Creche Parceira,4.13,Olaria,32,33,0,-22.84166,-43.26343
0004044,CP CRECHE HOUSE BABY - BONSUCESSO,Creche Parceira,4.12,Bonsucesso,93,52,2,-22.85933,-43.2565
0004045,CP CRECHE CRIANÇA FELIZ EM LUCAS,Creche Parceira,4.23,Parada de Lucas,49,41,6,-22.81242,-43.29846
0004046,CP CRECHE TIA NANE III,Creche Parceira,4.7,Ramos,35,15,16,-22.86203,-43.23867
0004047,CP CRECHE VALE DO SOL III,Creche Parceira,4.13,Olaria,155,134,2,-22.84292,-43.26179
0004048,CP INSTITUTO DE EDUCAÇÃO EUCLIDES DOS SANTOS II,Creche Parceira,4.12,Ramos,46,31,1,-22.85123,-43.25565
